title,companyName,rating,reviews,experience,salary,location,qualification_required,skills,day_posted
Data Scientist - Statistical Modeling (Immediate joiners),Evalueserve,3.4,1068  Reviews,3-8 Yrs,Not disclosed,"Hybrid - Gurugram, Bengaluru, Mumbai (All Areas)","Preferred candidate profile . Bachelors degree or higher in statistics, mathematics, en...","Data Science,Statistical Modeling,Python,Predictive Modeling,Logistic Regression,Science,Logistics,Statistics", 1 Day Agosave
Data Scientist,Visa,3.9,284  Reviews,3-7 Yrs,Not disclosed,Bengaluru,"      To ensure that Visa s payment technology is truly available to everyone, everywhe...","Computer science,Operations research,Business analytics,Analytical,Predictive modeling,Business solutions,Financial services,Product marketing", 1 Day Agosave
Data Scientist,Hexaware Technologies,3.6,5100  Reviews,6-10 Yrs,Not disclosed,Hybrid - Bengaluru,"Required Skills and Qualifications: Bachelors or master s degree in computer science, S...","R,Machine Learning,Python,Data,Machine", 1 Day Agosave
Data Scientist,Info Edge,4,1798  Reviews,0-3 Yrs,Not disclosed,Noida,Strong fundamental understanding and research experience in machine learning / Deep Lea...,"cnn,transformers,natural language processing,information retrieval,problem solving,bert,random forest,machine learning", 5 Days Agosave
Data Scientist: Artificial Intelligence,IBM,4.1,20349  Reviews,3-7 Yrs,Not disclosed,Hyderabad,"Your Role and ResponsibilitiesWork with broader team to build, analyze and improve the ...","data analysis,pandas,deep learning,spark,data visualization,hive,pyspark,power bi", 7 Days Agosave
Data Scientist IV - Python/LLM,Sadup Softech,4.6,24  Reviews,6-8 Yrs,Not disclosed,Hyderabad,"6+ Years of Experience. . - Statics, SQL, Big query, LLM, AI, Python. - Work experience...","Data Science,BigQuery,Data Scientist,Data Management,Jupyter,LLM,Python,Science", 1 Day Agosave
Data Scientist - Image Recognition / Machine Learning,Carbynetech India Pvt Ltd,4.3,27  Reviews,5-10 Yrs,Not disclosed,Hyderabad,#NAME?,"Data Science,Java,NLTK,R,Elasticsearch,ELK,Scala,Image Recognition", 1 Day Agosave
Data Scientist - Machine Learning/APICS,CARBYNETECH,4.3,27  Reviews,3-8 Yrs,Not disclosed,Hyderabad,Job Requirements :- 3+ Years of experience in machine learning and AI analytics.- Exper...,"Machine Learning,Data Science,R,APICS,NLP,Artificial Intelligence,Data Management,Python", 1 Day Agosave
Data Scientist - Machine Learning/Python,CARBYNETECH,4.3,27  Reviews,3-8 Yrs,Not disclosed,Hyderabad,"- You have at least 2 year experience, ideally within a Statistician role You possess s...","Python,Predictive Modeling,R,Data Scientist,Data Management,Machine Learning,SQL,Machine", 1 Day Agosave
Data Scientist: Artificial Intelligence,IBM,4.1,20349  Reviews,5-7 Yrs,Not disclosed,Hyderabad,"Your Role and ResponsibilitiesWork with broader team to build, analyze and improve the ...","python,data analytics,artificial intelligence,tableau,ml,hive,algorithms,data analysis", 1 Day Agosave
